127.0.0.1 - - [17/Jan/2017:12:17:07 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/ HTTP/1.1" 200 35557
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/vendor/jquery/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/js/jqBootstrapValidation.js HTTP/1.1" 200 36171
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/js/contact_me.js HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/roundicons.png HTTP/1.1" 200 120066
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/startup-framework.png HTTP/1.1" 200 187564
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/js/agency.min.js HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/treehouse.png HTTP/1.1" 200 80328
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/golden.png HTTP/1.1" 200 93325
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/escape.png HTTP/1.1" 200 85423
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/portfolio/dreams.png HTTP/1.1" 200 62658
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/about/1.jpg HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/about/2.jpg HTTP/1.1" 200 15337
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 200 7338
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 200 11310
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 200 14401
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 200 12159
0:0:0:0:0:0:0:1 - - [17/Jan/2017:12:17:09 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 200 1696
